Method,Latency,Accuracy,Size (MB),Throughput,Score,Meta_Pred,Best,Dataset_Size,Num_Features
Baseline,0.12360429763793945,0.7691412172406324,1.1234064102172852,298824.56116689875,0.30000000000000004,0,0,36936,1
Quantization,0.10588336944580079,0.7691412172406324,0.5617275238037109,348836.65105601563,0.7803464703823488,0,0,36936,1
Pruning,0.11667465448379516,0.7691412172406324,0.7864185333251953,316572.6109360796,0.5277985156427424,0,0,36936,1
Distillation,0.09278107881546022,0.7537583928958198,0.6740730285644531,398098.41049019265,0.6599965362849619,1,1,36936,1
Baseline,0.1386502742767334,0.7691412172406324,1.1234064102172852,266396.8765491158,0.30000000000000004,0,0,36936,1
Quantization,0.10606277465820313,0.7691412172406324,0.5617275238037109,348246.5937651508,0.8446191205892754,0,0,36936,1
Pruning,0.10166406154632568,0.7691412172406324,0.7864185333251953,363314.2276454224,0.8141607174230447,0,0,36936,1
Distillation,0.09257254600524903,0.7537583928958198,0.6740730285644531,398995.18371143925,0.6599965362849619,1,1,36936,1
Baseline,0.03274555206298828,0.7691412172406324,0.14623355865478516,1127969.9889912105,0.4,1,1,36936,1
Quantization,0.018523826599121093,0.7691412172406324,0.07314109802246094,1993972.455008433,0.9986807681735808,1,0,36936,1
Pruning,0.02116861343383789,0.7691412172406324,0.1023975372314453,1744847.3947262908,0.8167110987303549,1,0,36936,1
Distillation,0.018480634689331053,0.7537583928958198,0.08776931762695313,1998632.6563407104,0.5466311774504304,1,0,36936,1
Baseline,0.11573419570922852,0.7691412172406324,1.1234064102172852,319145.08735860826,0.4,0,0,36936,1
Quantization,0.09647624969482423,0.7691412172406324,0.5617275238037109,382850.70280858513,0.9462819993086707,1,1,36936,1
Pruning,0.10490813493728637,0.7691412172406324,0.7864185333251953,352079.4647820227,0.7122336448680031,0,0,36936,1
Distillation,0.09309808015823365,0.7537583928958198,0.6740730285644531,396742.8752260189,0.5466620483799493,1,0,36936,1
Baseline,0.11567249298095703,0.7691412172406324,1.1234064102172852,319315.32768192963,0.31250000000000006,0,0,36936,1
Quantization,0.09514701843261719,0.7691412172406324,0.5617275238037109,388199.2374375657,0.9635630572406009,1,1,36936,1
Pruning,0.10503994226455689,0.7691412172406324,0.7864185333251953,351637.6647177874,0.6622011120396178,0,0,36936,1
Distillation,0.09353935718536377,0.7537583928958198,0.6740730285644531,394871.21903997246,0.6458297252968355,1,0,36936,1
Baseline,0.13878145217895507,0.7691412172406324,1.1234064102172852,266145.07500881306,0.31250000000000006,0,0,36936,1
Quantization,0.09990955352783204,0.7691412172406324,0.5617275238037109,369694.37552046165,0.9131650929656423,1,1,36936,1
Pruning,0.11553370237350463,0.7691412172406324,0.7864185333251953,319698.9211043456,0.6656614834744763,0,0,36936,1
Distillation,0.09211156368255616,0.7537583928958198,0.6740730285644531,400991.9984345553,0.6458297252968355,1,0,36936,1
Baseline,0.1155740737915039,0.7691412172406324,1.1234064102172852,319587.24641508004,0.31250000000000006,0,0,36936,1
Quantization,0.09511363983154297,0.7691412172406324,0.5617275238037109,388335.46971199755,0.8780797657996118,1,1,36936,1
Pruning,0.1019074511528015,0.7691412172406324,0.7864185333251953,362446.50986921095,0.6728483701335137,0,0,36936,1
Distillation,0.08854308128356933,0.7537583928958198,0.6740730285644531,417152.8646231346,0.6458297252968355,1,0,36936,1
Baseline,0.13372035026550294,0.7691412172406324,1.1234064102172852,276218.24147680774,0.31250000000000006,0,0,36936,1
Quantization,0.11137535095214844,0.7691412172406324,0.5617275238037109,331635.3186251172,0.7758358647473061,0,0,36936,1
Pruning,0.10579734802246094,0.7691412172406324,0.7864185333251953,349120.2822225604,0.7593211366255513,0,0,36936,1
Distillation,0.09322049617767333,0.7537583928958198,0.6740730285644531,396221.87731764413,0.6458297252968355,1,1,36936,1
Baseline,0.11237401962280273,0.7691412172406324,1.1234064102172852,328688.07331071934,0.31250000000000006,0,0,36936,1
Quantization,0.0951333236694336,0.7691412172406324,0.5617275238037109,388255.1200286463,0.8681200236265676,1,1,36936,1
Pruning,0.10240598440170287,0.7691412172406324,0.7864185333251953,360682.0462280113,0.6353438603637602,0,0,36936,1
Distillation,0.08892381191253662,0.7537583928958198,0.6740730285644531,415366.80901994376,0.6458297252968355,1,0,36936,1
Baseline,0.13823409080505372,0.7691412172406324,1.1234064102172852,267198.92166172987,0.31250000000000006,0,0,36936,1
Quantization,0.11546630859375001,0.7691412172406324,0.5617275238037109,319885.5185537583,0.720655691617962,0,0,36936,1
Pruning,0.1006855583190918,0.7691412172406324,0.7864185333251953,366845.0631513881,0.7753803623371203,0,0,36936,1
Distillation,0.08660448789596559,0.7537583928958198,0.6740730285644531,426490.5999371499,0.6458297252968355,1,1,36936,1
Baseline,0.14014129638671874,0.7691412172406324,1.1234064102172852,263562.5682958963,0.31250000000000006,0,0,36936,1
Quantization,0.09822883605957032,0.7691412172406324,0.5617275238037109,376019.9293983324,0.8981823388302215,1,1,36936,1
Pruning,0.10043503522872925,0.7691412172406324,0.7864185333251953,367760.1139471152,0.7934124415315095,0,0,36936,1
Distillation,0.08811153173446656,0.7537583928958198,0.6740730285644531,419195.9811947266,0.6458297252968355,1,0,36936,1
Baseline,0.12201972007751465,0.7691412172406324,1.1234064102172852,302705.1691032885,0.31250000000000006,0,0,36936,1
Quantization,0.09624141693115235,0.7691412172406324,0.5617275238037109,383784.87326742796,0.9228530572255441,1,1,36936,1
Pruning,0.10389286994934081,0.7691412172406324,0.7864185333251953,355520.0661798096,0.715832028502987,0,0,36936,1
Distillation,0.09161564111709594,0.7537583928958198,0.6740730285644531,403162.5991984414,0.6458297252968355,1,0,36936,1
Baseline,0.13658509254455567,0.7691412172406324,1.1234064102172852,270424.8268378999,0.31250000000000006,0,0,36936,1
Quantization,0.11477806091308594,0.7691412172406324,0.5617275238037109,321803.65921993804,0.74276195035234,0,0,36936,1
Pruning,0.12459099769592284,0.7691412172406324,0.7864185333251953,296458.016093154,0.5578117866072527,0,0,36936,1
Distillation,0.09157100915908814,0.7537583928958198,0.6740730285644531,403359.1017418007,0.6458297252968355,1,1,36936,1
